Chamber,Day,Committee Name,Bill Number,Bill Author,Caption,Stance,Action
House,Wednesday,Insurance,HB 138,Dean,"Relating to the establishment of the Health Impact, Cost, and Coverage Analysis Program; authorizing a fee.",,
House,Wednesday,Insurance,HB 388,Harris Davila,Relating to a uniform coordination of benefits questionnaire for health benefit plans.,,
House,Wednesday,Insurance,HB 335,posting: HB 335,,,
House,Wednesday,Judiciary & Civil Jurisprudence,HB 170,Guillen | et al.,Relating to civil liability arising out of justified uses of or threats to use force or deadly force.,,
House,Wednesday,Judiciary & Civil Jurisprudence,HB 865,Moody,Relating to civil liability arising from a firearm hold agreement.,,
House,Wednesday,Judiciary & Civil Jurisprudence,HB 748,Leach,Relating to the enforceability of certain nondisclosure or confidentiality provisions with respect to an act of sexual abuse committed against a child.,,
House,Wednesday,Judiciary & Civil Jurisprudence,HJR 112,Frank,Proposing a constitutional amendment protecting the right of parents to raise their children.,,
House,Wednesday,Judiciary & Civil Jurisprudence,HB 1110,Shaheen,Relating to a limitation on civil suits against persons reporting suspicious activity in good faith.,,
House,Wednesday,Judiciary & Civil Jurisprudence,HB 1495,"Morales, Eddie",Relating to the prohibited release of personal information collected during the jury selection process.,,
House,Wednesday,Judiciary & Civil Jurisprudence,HB 786,"Jones, Jolanda",Relating to justice court security in certain counties.,,
House,Wednesday,Judiciary & Civil Jurisprudence,HB 1130,Isaac,Relating to liability of a cavern entity for injuries arising from certain activities.,,
House,Wednesday,Natural Resources,HB 1089,Paul | et al.,Relating to creation of the gulf coast protection account to be administered by the General Land Office.,,
House,Wednesday,Natural Resources,HB 1163,Cunningham,Relating to planning and financial responsibility requirements for certain aggregate production operations; providing for the imposition of an administrative penalty.,,
House,Wednesday,Natural Resources,HB 1177,Cunningham,Relating to the creation of the criminal offense of diverting or impounding the flow of surface water in a manner that damages the property of another by the overflow of the water diverted or impounded.,,
House,Wednesday,Natural Resources,HB 1238,Guillen,Relating to the inspection of the location of a proposed Class I injection well.,,
House,Wednesday,Natural Resources,HB 1318,Guillen,Relating to a certificate of public convenience and necessity to provide water or sewer service in an area incorporated or annexed by a municipality.,,
House,Wednesday,Natural Resources,HB 1400,Harris,"Relating to creation of the groundwater science, research, and innovation fund to be administered by the Texas Water Development Board.",,
House,Wednesday,Natural Resources,HB 1407,Guillen,Relating to public utility agencies; providing authority to issue bonds; providing authority to impose assessments.,,
House,Wednesday,Natural Resources,HB 1532,Cunningham,Relating to the creation of the Lake Houston Dredging and Maintenance District; providing the authority to issue bonds.,,
House,Wednesday,Natural Resources,HJR 7,Harris,Proposing a constitutional amendment to dedicate a portion of the revenue derived from state sales and use taxes to the Texas water fund.,,
House,Wednesday,State Affairs,HB 14,Harris,Relating to funding mechanisms within the Office of the Governor and Texas Public Utility Commission to support the deployment of advanced nuclear reactors in this state.,,
House,Wednesday,State Affairs,HB 106,King,Relating to the maintenance of certain improvements associated with oil and gas development and production; authorizing an administrative penalty.,,
House,Wednesday,State Affairs,HB 146,Geren,Relating to the required approval by the State Preservation Board of certain traffic changes near the state capitol.,,
House,Wednesday,State Affairs,HB 267,Patterson,Relating to affirmative defenses to prosecution for certain offenses involving material or conduct that is obscene or otherwise harmful to children.,,
House,Wednesday,State Affairs,HB 274,Cain,Relating to the establishment of the District of Austin as the seat of state government.,,
House,Wednesday,State Affairs,HB 1127,Gámez,Relating to the promotion of breast-feeding and the prohibition against interference with or restriction of the right to breast-feed.,,
House,Wednesday,State Affairs,HB 1359,Hernandez,Relating to a program to provide assistance for certain retail electric customers; authorizing a fee.,,
House,Wednesday,State Affairs,HB 1393,Metcalf,Relating to daylight saving time.,,
House,Wednesday,State Affairs,HB 1584,Hull,Relating to the creation of a list of priority facilities by electric utilities.,,
House,Wednesday,State Affairs,HB 1640,VanDeaver,Relating to a customer guide to home solar energy devices.,,
House,Wednesday,State Affairs,HB 1710,Landgraf,"Relating to certificates of convenience and necessity for the construction, ownership, or operation of facilities for the transmission of electricity.",,
House,Wednesday,State Affairs,HB 2152,"Morales, Eddie",Relating to a reliability plan for electric transmission service in the Permian Basin.,,
House,Wednesday,State Affairs,HCR 101,King,Designating the tomahawk rib-eye steak as the official State Steak of Texas and directing the Texas Department of Agriculture to promote the tomahawk rib-eye steak as part of efforts to support Texas beef and agricultural products.,,
House,Wednesday,State Affairs,HJR 8,Harris,"Proposing a constitutional amendment providing for the creation of the Texas nuclear development fund to support the development, construction, and operation of advanced nuclear reactor projects.",,
House,Wednesday,State Affairs,HR 51,Raymond | et al.,Condemning the assassination attempt on former President Donald Trump and denouncing political violence.,,
House,Wednesday,"Trade, Workforce & Economic Development",HB 186,Patterson | et al.,Relating to prohibiting use of social media platforms by children.,,
House,Wednesday,"Trade, Workforce & Economic Development",HB 517,Harris Davila,Relating to the authority of a property owners' association to assess a fine for discolored vegetation or turf during a period of residential watering restriction.,,
House,Wednesday,"Trade, Workforce & Economic Development",HB 1093,Lambert | et al.,Relating to requirements for notice advertising the sale of property to enforce a self-service storage facility lien.,,
House,Wednesday,"Trade, Workforce & Economic Development",HB 1268,Button,Relating to the creation of the Texas technology and innovation program.,,
House,Wednesday,"Trade, Workforce & Economic Development",HB 1395,Lujan,Relating to the regulation of private passenger vehicle rental companies.,,
House,Wednesday,Delivery of Government Efficiency,HB 150,Capriglione,Relating to the establishment of the Texas Cyber Command as a component institution of The University of Texas System and the transfer to it of certain powers and duties of the Department of Information Resources.,,
House,Wednesday,Delivery of Government Efficiency,HB 869,Lalani,Relating to the review and revision by the state's classification officer of information in the position classification plan regarding state information technology positions.,,
House,Wednesday,Delivery of Government Efficiency,HB 876,Lalani,Relating to the establishment of certain information sharing and analysis organizations by the Department of Information Resources.,,
House,Wednesday,Delivery of Government Efficiency,HB 1043,Bhojani | et al.,Relating to a study by the General Land Office on the establishment and implementation by the General Land Office of a distributed ledger-based title registry pilot program.,,
House,Wednesday,Delivery of Government Efficiency,HB 1522,Gerdes,Relating to notice of a meeting held under the open meetings law.,,
House,Wednesday,Delivery of Government Efficiency,HB 1494,posting: HB 1494,,,
House,Wednesday,"Homeland Security, Public Safety & Veterans' Affairs",HB 33,McLaughlin,"Relating to active shooter events and other emergencies, including certain accreditations of law enforcement agencies that respond to such emergencies.",,
House,Wednesday,"Homeland Security, Public Safety & Veterans' Affairs",HB 298,DeAyala,Relating to the content of a driver's license or personal identification certificate.,,
House,Wednesday,"Homeland Security, Public Safety & Veterans' Affairs",HB 1024,Shaheen,Relating to the execution of a warrant issued for certain releasees who violate a condition of parole or mandatory supervision related to the electronic monitoring of the releasee.,,
House,Wednesday,"Homeland Security, Public Safety & Veterans' Affairs",HB 1234,Guillen,Relating to certain procedures required for the denial of certain applications for a license to carry a handgun.,,
House,Wednesday,"Homeland Security, Public Safety & Veterans' Affairs",HB 1261,Cunningham,Relating to the disposition of abandoned or unclaimed property seized by a peace officer.,,
House,Wednesday,"Homeland Security, Public Safety & Veterans' Affairs",HB 1696,Canales,Relating to adding a designation on a person's driver's license or commercial driver's license indicating that the person is licensed to carry a handgun.,,
House,Thursday,Land & Resource Management,HB 950,Hayes,Relating to the provision of municipal services to land annexed by a municipality for full purposes.,,
House,Thursday,Land & Resource Management,HB 1228,Gates,Relating to municipal and county permitting requirements to conduct certain repairs on residential buildings.,,
House,Thursday,Land & Resource Management,HB 24,posting: HB 24,,,
House,Thursday,S/C on Disease Prevention & Women's & Children's Health,HB 25,Hull | et al.,Relating to health and nutrition standards to promote healthy living.,,
House,Thursday,S/C on Disease Prevention & Women's & Children's Health,HB 38,Bucy,Relating to improvements to the Texas Information and Referral Network.,,
House,Thursday,S/C on Disease Prevention & Women's & Children's Health,HB 997,Shaheen,Relating to the provision of telehealth and telemedicine medical services by certain health professionals located outside of this state; requiring registration to engage in an occupation; authorizing fees.,,
House,Thursday,S/C on Disease Prevention & Women's & Children's Health,HB 1119,Gámez,Relating to a biennial report on the regional allocation of mental health beds.,,
House,Thursday,Transportation,HB 408,Harris Davila,Relating to the awarding of contracts by the Texas Department of Transportation for certain materials used in road construction projects.,,
House,Thursday,Transportation,HB 787,Leo Wilson | et al.,Relating to authorizing the Texas Department of Transportation to provide battery service to a vehicle transported on the Galveston-Port Bolivar ferry; authorizing a fee.,,
House,Thursday,Transportation,HB 1126,Gámez,Relating to sunscreening devices installed on a motor vehicle displaying a judicial specialty license plate.,,
House,Thursday,Transportation,HB 1136,Gámez,Relating to a study conducted by the Texas Department of Motor Vehicles regarding parking for certain individuals with disabilities.,,
House,Thursday,Transportation,HB 1607,Metcalf,Relating to license plates and license plate windshield insignia issued for and displayed on a vehicle; authorizing a fee; creating a criminal offense.,,
House,Thursday,Transportation,HB 1029,posting: HB 1029,,,
House,Thursday,"Culture, Recreation & Tourism",HB 609,Vasut,Relating to the cleaning of a structure used to grow oysters for cultivated oyster mariculture.,,
House,Thursday,"Culture, Recreation & Tourism",HB 630,Vasut,Relating to certificates of title for certain outboard motors.,,
House,Thursday,"Culture, Recreation & Tourism",HB 654,Leo Wilson | et al.,Relating to the dismissal of a criminal charge related to the illegal hunting of certain deer; authorizing fees.,,
House,Thursday,"Culture, Recreation & Tourism",HB 676,Gervin-Hawkins,Relating to the use of an unmanned aircraft to locate and retrieve wounded or killed wildlife.,,
House,Thursday,Elections,HB 242,Guillen | et al.,Relating to the creation of the criminal offense of obtaining personally identifiable voter information.,,
House,Thursday,Elections,HB 342,Hayes,Relating to the combination of certain election precincts.,,
House,Thursday,Elections,HB 392,Flores,Relating to the provision of the reason for rejecting a voter registration application.,,
House,Thursday,Elections,HB 493,Shaheen,Relating to ineligibility to serve as a poll watcher.,,
House,Thursday,Elections,HB 521,Guillen,Relating to accommodating voters with a disability; creating criminal offenses.,,
House,Thursday,Elections,HB 614,Bucy,Relating to the procedures for voting after changing residence to another county.,,
House,Thursday,Elections,HB 631,Swanson,Relating to requirements for certain petitions requesting an election and ballot propositions and to related procedures and provisions.,,
House,Thursday,Elections,HB 1090,Paul,Relating to prohibiting certain individuals from serving as a volunteer deputy registrar.,,
House,Thursday,Elections,HB 1091,Paul,Relating to practices and procedures for an early voting ballot voted by mail.,,
House,Thursday,Elections,HB 1477,Swanson,Relating to preparing and delivering precinct election returns; increasing a criminal penalty.,,
House,Thursday,S/C on Juvenile Justice,HB 355,Craddick,Relating to the period within which the Texas Juvenile Justice Department must accept custody of a person committed to the department and to the consequences for the failure of the department to accept custody of the person within that period.,,
House,Thursday,S/C on Juvenile Justice,HB 437,Swanson,Relating to the placement of children in a detention or correctional facility according to biological sex.,,
